Depth,First arrival time (1-2),First arrival time (2-3),First arrival time (3-4),First arrival time (4-1),First arrival time (1-3),First arrival time (2-4)
-6.92,111,142,116,140,125,103
-6.93,112,141,116,140,125,104
-6.94,112,141,115,140,124,103
-6.95,112,141,115,140,123,104
-6.96,112,141,114,140,121,103
-6.97,112,141,113,141,120,102
-6.98,112,141,112,143,119,101
-6.99,112,140,111,144,118,100
-7,112,140,110,146,117,100
-7.01,112,141,110,146,116,100
-7.02,112,141,109,147,115,100
-7.03,112,141,109,147,115,100
-7.04,111,142,108,146,116,100
-7.05,111,142,108,146,113,100
-7.06,111,142,108,145,114,100
-7.07,111,143,108,144,115,100
-7.08,111,143,108,143,115,100
-7.09,111,144,108,142,115,100
-7.1,111,146,108,141,116,100
-7.11,110,148,108,140,116,100
-7.12,110,149,107,139,116,100
-7.13,110,149,107,139,117,100
-7.14,110,149,107,138,117,101
-7.15,110,148,107,138,118,101
-7.16,109,146,107,137,118,101
-7.17,109,144,106,137,118,101
-7.18,109,144,106,136,118,100
-7.19,109,143,106,136,117,100
-7.2,109,143,106,136,117,100
-7.21,109,143,106,135,116,100
-7.22,109,143,106,135,115,100
-7.23,109,142,107,135,115,100
-7.24,109,142,109,135,114,100
-7.25,109,142,110,136,114,100
-7.26,108,142,110,136,115,100
-7.27,108,142,110,138,115,100
-7.28,108,141,110,139,115,100
-7.29,107,141,111,140,115,100
-7.3,107,141,112,141,116,100
-7.31,107,141,118,141,116,100
-7.32,106,142,117,141,117,100
-7.33,106,142,115,142,118,100
-7.34,106,142,108,142,118,100
-7.35,106,143,107,142,119,100
-7.36,107,144,106,142,120,100
-7.37,107,145,106,142,120,101
-7.38,107,147,105,143,121,101
-7.39,108,153,105,143,122,102
-7.4,108,168,105,143,123,102
-7.41,108,162,105,143,124,103
-7.42,109,176,105,143,131,104
-7.43,110,166,105,143,132,104
-7.44,111,165,105,143,133,104
-7.45,120,164,106,143,134,105
-7.46,120,157,106,142,133,105
-7.47,123,156,107,142,134,105
-7.48,125,154,108,142,134,105
-7.49,125,152,108,142,133,105
-7.5,117,152,110,141,149,106
-7.51,115,151,111,141,140,106
-7.52,114,151,112,141,140,106
-7.53,112,152,113,142,134,106
-7.54,112,157,112,142,133,107
-7.55,111,155,110,142,133,107
-7.56,110,154,107,142,133,108
-7.57,110,153,106,142,145,108
-7.58,109,153,105,141,146,109
-7.59,109,152,104,142,152,109
-7.6,109,152,104,142,135,110
-7.61,109,153,104,142,135,110
-7.62,109,154,104,142,135,110
-7.63,109,155,104,142,135,109
-7.64,109,156,104,143,134,108
-7.65,109,158,104,144,135,108
-7.66,109,159,104,145,135,107
-7.67,110,160,104,145,129,107
-7.68,110,160,104,146,129,107
-7.69,111,158,104,147,124,107
-7.7,111,153,104,147,124,108
-7.71,111,146,104,147,124,108
-7.72,111,145,104,147,125,107
-7.73,112,144,104,147,129,107
-7.74,112,143,104,147,129,107
-7.75,112,143,104,146,129,107
-7.76,112,143,104,145,129,107
-7.77,112,143,104,144,129,107
-7.78,112,143,103,144,129,107
-7.79,113,142,103,143,133,106
-7.8,113,142,103,143,131,106
-7.81,113,142,103,142,130,106
-7.82,114,142,103,142,128,106
-7.83,115,142,103,142,127,106
-7.84,116,142,103,142,127,106
-7.85,117,143,103,143,126,106
-7.86,117,143,103,143,125,105
-7.87,117,144,103,143,125,105
-7.88,118,145,103,144,125,105
-7.89,118,145,104,145,126,105
-7.9,119,146,104,145,126,105
-7.91,114,147,104,146,126,105
-7.92,113,147,105,147,115,105
-7.93,113,147,105,147,114,105
-7.94,113,148,105,148,113,105
-7.95,112,148,105,148,113,106
-7.96,112,149,104,148,114,106
-7.97,112,150,104,148,122,106
-7.98,112,148,103,148,115,106
-7.99,117,148,102,148,115,106
-8,119,149,102,148,115,106
-8.01,114,149,103,147,116,106
-8.02,113,149,103,145,117,106
-8.03,113,148,103,144,117,106
-8.04,113,148,103,143,118,106
-8.05,113,148,103,144,120,105
-8.06,116,148,102,144,121,105
-8.07,115,148,102,144,131,105
-8.08,116,147,102,144,131,104
